[+] El directorio ya está creado...
{"ok":true,"result":{"message_id":40,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649412063,"text":"He sido configurado"}}Fri Apr  8 12:01:07 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:55:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:55:53 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:56:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:56:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:57:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:57:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:57:07 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:58:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:58:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:58:09 CEST 2022 Llamada a Robocop...
{"ok":true,"result":{"message_id":52,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649419892,"text":"Host:        web.stilugames.com\nTiempo activo:  up 6 hours, 59 minutes\n\nCPU:         0.00 0.00 0.00\nStatus: OK - Funciona con normalidad","entities":[{"offset":0,"length":5,"type":"bold"},{"offset":13,"length":18,"type":"code"},{"offset":32,"length":13,"type":"bold"},{"offset":48,"length":22,"type":"code"},{"offset":72,"length":3,"type":"bold"},{"offset":85,"length":14,"type":"code"},{"offset":100,"length":7,"type":"bold"},{"offset":108,"length":28,"type":"code"}]}}Fri Apr  8 13:59:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:59:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:00:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:00:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:00:01 CEST 2022 Llamada a Robocop...
{"ok":false,"error_code":400,"description":"Bad Request: can't parse entities: Unexpected end of name token at byte offset 188"}Fri Apr  8 14:01:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:01:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:02:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:02:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:02:02 CEST 2022 Llamada a Robocop...
{"ok":false,"error_code":400,"description":"Bad Request: can't parse entities: Unsupported start tag \"p\" at byte offset 183"}Fri Apr  8 14:03:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:03:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:04:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:04:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:04:19 CEST 2022 Llamada a Robocop...
{"ok":false,"error_code":400,"description":"Bad Request: can't parse entities: Unsupported start tag \"p\" at byte offset 180"}Fri Apr  8 14:05:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:05:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:06:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:06:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:07:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:07:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:07:37 CEST 2022 Llamada a Robocop...
{"ok":true,"result":{"message_id":53,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649420417,"text":"Host:        web.stilugames.com\nTiempo activo:  up 7 hours, 9 minutes\n\nCPU:         0.00 0.00 0.00\nStatus: OK - Funciona con normalidad","entities":[{"offset":0,"length":5,"type":"bold"},{"offset":13,"length":18,"type":"code"},{"offset":32,"length":13,"type":"bold"},{"offset":48,"length":21,"type":"code"},{"offset":71,"length":3,"type":"bold"},{"offset":84,"length":14,"type":"code"},{"offset":99,"length":7,"type":"bold"},{"offset":107,"length":28,"type":"code"}]}}Fri Apr  8 14:08:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:08:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:09:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:09:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:10:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:10:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:11:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:11:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:12:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:12:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:13:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:13:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:13:19 CEST 2022 Llamada a Robocop...
{"ok":true,"result":{"message_id":54,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649420733,"text":"Host:        web.stilugames.com\nTiempo activo:  up 7 hours, 15 minutes\n\nCPU:         0.00 0.00 0.00\nStatus: OK - Funciona con normalidad","entities":[{"offset":0,"length":5,"type":"bold"},{"offset":13,"length":18,"type":"code"},{"offset":32,"length":13,"type":"bold"},{"offset":48,"length":22,"type":"code"},{"offset":72,"length":3,"type":"bold"},{"offset":85,"length":14,"type":"code"},{"offset":100,"length":7,"type":"bold"},{"offset":108,"length":28,"type":"code"}]}}Fri Apr  8 14:14:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:14:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:14:02 CEST 2022 Llamada a Robocop...
{"ok":true,"result":{"message_id":55,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649420772,"text":"Host:        web.stilugames.com\nTiempo activo:  up 7 hours, 15 minutes\n\nCPU:         0.00 0.00 0.00\nStatus: OK - Funciona con normalidad","entities":[{"offset":0,"length":5,"type":"bold"},{"offset":13,"length":18,"type":"code"},{"offset":32,"length":13,"type":"bold"},{"offset":48,"length":22,"type":"code"},{"offset":72,"length":3,"type":"bold"},{"offset":85,"length":14,"type":"code"},{"offset":100,"length":7,"type":"bold"},{"offset":108,"length":28,"type":"code"}]}}Fri Apr  8 14:15:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:15:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:16:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:16:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:17:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:17:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:18:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:18:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:19:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:19:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:20:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:20:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:21:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:21:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:22:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:22:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 14:23:01 CEST 2022 Llamada a Robocop...
